Код;Наименование;ИНН;КПП;Адрес;Телефон;email;Сайт;Дополнительно
6377;Межрайонная ИФНС России № 8 по Самарской области;6377006085;637701001;,446250,Самарская обл,,Нефтегорск г,,Нефтянников ул,5,,;846-702-30-61;i6377@r63.nalog.ru;-;"Код ОКПО:48106245: дни и часы приема: пн,ср с 09:00-18:00; вт,чт с 09:00-20:00; пт с 09:00-16:45; 2-я и 4-я суббота месяца с 10:00-15:00."
6381;Межрайонная ИФНС России № 17 по Самарской области;6381008889;638101001;,446540,Самарская обл,,,Сергиевск с,Ленина ул,16,,;84655 2-12-77;i6381@r63.nalog.ru;-;"Код ОКПО:74151453: дни и часы приема: пн,ср с 09:00-18:00; вт,чт с 09:00-20:00; пт с 09:00-16:45; 2-я и 4-я суббота месяца с 10:00-15:00."
6382;Межрайонная ИФНС России № 15 по Самарской области;6382050001;638201001;,445025,Самарская обл,,Тольятти г,,Голосова ул,32а,,;(8482) 999-439, (8482) 26-17-38;i6382@r63.nalog.ru;-;"Код ОКПО:72235619: дни и часы приема: пн,ср с 09:00-18:00; вт,чт с 09:00-20:00; пт с 09:00-16:45; 2-я и 4-я суббота месяца с 10:00-15:00."
6400;УФНС России по Саратовской области;6454071860;645401001;,410028,,,Саратов г,,Рабочая ул,24,,;8452-211396;u64@r64.nalog.ru;www.r64.nalog.ru;Код ОКПО:33217252 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 17.00. Выходной: суббота, воскресенье
6413;Межрайонная ИФНС России №9 по Саратовской области;6413521870;641301001;,413500,Саратовская обл,,Ершов г,,Краснопартизанская ул,8,,;84564-51451;i6409@m09.r64.nalog.ru;-;Код ОКПО:33235341 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6432;Межрайонная ИФНС России №12 по Саратовской области;6450604885;645001001;,410038,Саратовская обл,,Саратов г,,Соколовогорская ул,8А,,;8452-211083;i6432@m32.r64.nalog.ru;-;Код ОКПО:33221673 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6438;Межрайонная ИФНС России №13 по Саратовской области;6438907788;643801001;,412420,Саратовская обл,,Аткарск г,,Гагарина ул,67,,;84552-33389;i6413@m13.r64.nalog.ru;-;Код ОКПО:72542014 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6439;Межрайонная ИФНС России №2 по Саратовской области;6439057300;643901001;,413864,Саратовская обл,,Балаково г,,Степная ул,2,,;8453-492939;i6402@m02.r64.nalog.ru;-;Код ОКПО:34171256 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6440;Межрайонная ИФНС России №1 по Саратовской области;6440902040;644001001;,412309,Саратовская обл,,Балашов г,,Володарского ул,55,,;84545-48643;i6401@m01.r64.nalog.ru;-;Код ОКПО:33248212 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6441;Межрайонная ИФНС России №3 по Саратовской области;6441013389;644101001;,412900,Саратовская обл,,Вольск г,,Саратовская ул,69,,;84593-52750;i6403@m03.r64.nalog.ru;-;Код ОКПО:33257553 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6444;Межрайонная ИФНС России №10 по Саратовской области;6404901971;644401001;,412540,Саратовская обл,,Петровск г,,Советская ул,45,,;84555-25919;i6408@m08.r64.nalog.ru;-;Код ОКПО:72537378 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6445;Межрайонная ИФНС России №6 по Саратовской области;6445010540;644501001;,413720,Саратовская обл,,Пугачев г,,Топорковская ул,10,,;84574-22885;i6406@m06.r64.nalog.ru;-;Код ОКПО:34183584 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6446;Межрайонная ИФНС России №5 по Саратовской области;6446011434;644601001;,412031,Саратовская обл,,Ртищево г,,Малая Московская ул,21,,;84540-41297;i6405@m05.r64.nalog.ru;-;Код ОКПО:33246992 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6447;Межрайонная ИФНС России по крупнейшим налогоплательщикам по Саратовской области;6450604892;645001001;,410038,Саратовская обл,,Саратов г,,Соколовогорская ул,8А,,;8452-211059;i6447@m47.r64.nalog.ru;-;Код ОКПО:33217269 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6449;Межрайонная ИФНС России №7 по Саратовской области;6449973616;644901001;,413111,Саратовская обл,,Энгельс г,,Строителей пр-кт,22,,;8453-958063;i6407@m07.r64.nalog.ru;-;Код ОКПО:43731671 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6450;Межрайонная ИФНС России №8 по Саратовской области;6452907236;645201001;,410010,Саратовская обл,,Саратов г,,Бирюзова ул,7А,,;8452-690830;i6414@m14.r64.nalog.ru;-;Код ОКПО:13766991 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6451;Межрайонная ИФНС России №19 по Саратовской области;6451707770;645101001;,410049,,,Саратов г,,Пономарева ул,24,,;8452-969190;i6451@m51.r64.nalog.ru;-;Код ОКПО:72530577 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6453;ИФНС России по Ленинскому району г.Саратова;6453078895;645301001;,410040,,,Саратов г,,Деловой тупик,3,,;8452-308901;i6453@m53.r64.nalog.ru;-;Код ОКПО:33228853 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6454;ИФНС России по Октябрьскому району г.Саратова;6452907243;645201001;,410005,,,Саратов г,,Железнодорожная ул,61/69,,;8452-669950;i6454@m54.r64.nalog.ru;-;Код ОКПО:75950920 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6455;ИФНС России по Фрунзенскому району г.Саратова;6454071878;645401001;,410028,,,Саратов г,,Рабочая ул,24,,;8452-210255;i6455@m55.r64.nalog.ru;-;Код ОКПО:33217275 Режим работы: понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45. Выходной: суббота, воскресенье
6500;УФНС России по Сахалинской области;6501154700;650101001;,693020,,,Южно-Сахалинск г,,Карла Маркса ул,14,,;4242 74-02-00, справка 4242 74-02-09;u65@r65.nalog.ru;www.nalog.ru;Код ОКПО:27592744, Понедельник - четверг с 9:00 до 17:15, Пятница с 9:00 до 17:00
6600;Управление ФНС России по Свердловской области;6671159287;667101001;,620219,,,Екатеринбург г,,Пушкина ул,11,,;8-800-222-22-22 - Единый Контакт-центр (343)356-06-00 - приемная;head@tax.e-burg.ru;www.r66.nalog.ru;Код ОКПО:32252068 Режим работы: понедельник -четверг с 9.00 - 18.00, пятница 9.00 - 17.00, обед с 13.00 - 13.48.
6608;Межрайонная ИФНС России по крупнейшим налогоплательщикам по Свердловской области;6608002549;667001001;,620137,,,Екатеринбург г,,Парковый пер,41а,,;8-800-222-22-22 - Единый Контакт-центр;i660800@r66.nalog.ru;-;"Код ОКПО:32252140 Режим работы: Пн,Ср: с 9-00 до 18-00; Вт,Чт: с 9-00 до 20-00; Пт: с 9-00 до 17-00; Вторая и четвертая субботы месяца : с 10-00 до 15-00"
6612;Межрайонная ИФНС России №22 по Свердловской области;6612001555;661201001;,623400,Свердловская обл,,Каменск-Уральский г,,Кунавина ул,2,,;8-800-222-22-22 - Единый Контакт-центр (3439) 37-69-06 - приемна;i661200@r66.nalog.ru;-;"Код ОКПО:76494938 Режим работы: Пн,Ср: с 9-00 до 18-00; Вт,Чт: с 9-00 до 20-00; Пт: с 9-00 до 17-00; Вторая и четвертая субботы месяца : с 10-00 до 15-00"
6617;Межрайонная ИФНС России №14 по Свердловской области;6617002802;661701001;,624440,Свердловская обл,,Краснотурьинск г,,Ленина ул,9,,;8-800-222-22-22 - Единый Контакт-центр (34384) 9-12-49 - приемна;i661700@r66.nalog.ru;-;"Код ОКПО:79923245 Режим работы: Пн,Ср: с 9-00 до 18-00; Вт,Чт: с 9-00 до 20-00; Пт: с 9-00 до 17-00; Вторая и четвертая субботы месяца : с 10-00 до 15-00"
6619;Межрайонная ИФНС России №2 по Свердловской области;6619007700;661901001;,623300,Свердловская обл,,Красноуфимск г,,Интернациональная ул,106,,;8-800-222-22-22 - Единый Контакт-центр (34394) 2-21-89 - приемна;i661900@r66.nalog.ru;-;"Код ОКПО:32252252 Режим работы: Пн,Ср: с 9-00 до 18-00; Вт,Чт: с 9-00 до 20-00; Пт: с 9-00 до 17-00; Вторая и четвертая субботы месяца : с 10-00 до 15-00"
6623;Межрайонная ИФНС России №16 по Свердловской области;6623000850;662301001;,622001,Свердловская обл,,Нижний Тагил г,,Ломоносова ул,4,,;8-800-222-22-22 - Единый Контакт-центр (3435) 49-59-00 - приемна;i662300@r66.nalog.ru;-;"Код ОКПО:75757117 Режим работы: Пн,Ср: с 9-00 до 18-00; Вт,Чт: с 9-00 до 20-00; Пт: с 9-00 до 17-00; Вторая и четвертая субботы месяца : с 10-00 до 15-00"
6633;Межрайонная ИФНС России №19 по Свердловской области;6633001154;663301001;,624800, Свердловская обл,,Сухой Лог г,,Юбилейная ул,12,,;8-800-222-22-22 - Единый Контакт-центр (34373) 3-48-52 - приемна;i663300@r66.nalog.ru;-;"Код ОКПО:75757028 Режим работы: Пн,Ср: с 9-00 до 18-00; Вт,Чт: с 9-00 до 20-00; Пт: с 9-00 до 17-00; Вторая и четвертая субботы месяца : с 10-00 до 15-00"
6658;ИФНС России по Верх-Исетскому району г.Екатеринбурга;6658040003;665801001;,620014,,,Екатеринбург г,,Хомякова ул,4,,;8-800-222-22-22 - Единый Контакт-центр (343) 379-80-01 - приемна;i665800@r66.nalog.ru;-;"Код ОКПО:32252631 Режим работы: Пн,Ср: с 9-00 до 18-00; Вт,Чт: с 9-00 до 20-00; Пт: с 9-00 до 17-00; Вторая и четвертая субботы месяца : с 10-00 до 15-00"
6670;ИФНС России по Кировскому району г.Екатеринбурга;6660010006;666001001;,620062,,,Екатеринбург г,,Тимирязева ул,11,,;8-800-222-22-22 - Единый Контакт-центр (343) 362-93-01 - приемна;i666000@r66.nalog.ru;-;"Код ОКПО:32252654 Режим работы: Пн,Ср: с 9-00 до 18-00; Вт,Чт: с 9-00 до 20-00; Пт: с 9-00 до 17-00; Вторая и четвертая субботы месяца : с 10-00 до 15-00"
6671;ИФНС России по Ленинскому району г.Екатеринбурга;6661009067;666101001;,620014,,,Екатеринбург г,,Малышева ул,42,,;8-800-222-22-22 - Единый Контакт-центр (343) 379-81-01 - приемна;head@m71.r66.nalogru;-;"Код ОКПО:32252660 Режим работы: Пн,Ср: с 9-00 до 18-00; Вт,Чт: с 9-00 до 20-00; Пт: с 9-00 до 17-00; Вторая и четвертая субботы месяца : с 10-00 до 15-00"
6700;УФНС России по Смоленской области;6730054955;673101001;,214040,,,Смоленск г,,Гагарина пр-кт,23в,,;(4812) 20-60-00, 38-63-17;u67@r67.nalog.ru;www.nalog.ru;Код ОКПО:12381734. Режим работы: ежедневно с 9.00 по 18.00, в пятницу с 9.00 до 16.45. Перерыв с 13.00 до 13.45. Выходной: суббота, воскресенье.
6800;УФНС России по Тамбовской области;6829009937;682901001;,392020,,,Тамбов г,,Интернациональная ул,55,,;4752-473496;u68@r68.nalog.ru;www.r68.nalog.ru;Код ОКПО:24602778
6809;Межрайонная ИФНС России №7 по Тамбовской области;6809005765;680901001;,393920,Тамбовская обл,,Моршанск г,,Ленина ул,69,,;47533-44983;i68090100@r68.nalog.ru;-;"Код ОКПО: 01339663. Время приема налогоплательщиков: Понедельник, среда с 9.00 до 18.00; вторник, четверг с 9.00 до 20.00; пятница с 9.00 до 16.45, без перерыва на обед; вторая и четвертая субботы месяца с 10.00 до 15.00"
6820;Межрайонная ИФНС России №4 по Тамбовской области;6829079500;682901001;,392020,,,Тамбов г,,З.Космодемьянской ул,12,,;4752-536345;i68200100@r68.nalog.ru;-;"Код ОКПО: 37672473. Время приема налогоплательщиков: Понедельник, среда с 9.00 до 18.00; вторник, четверг с 9.00 до 20.00; пятница с 9.00 до 16.45, без перерыва на обед; вторая и четвертая субботы месяца с 10.00 до 15.00"
6827;Межрайонная ИФНС России №9 по Тамбовской области;6827022097;682701001;,393773,Тамбовская обл,,Мичуринск г,,Липецкое ш,55,,;47545-96791;i68270100@r68.nalog.ru;-;"Код ОКПО: 37672912. Время приема налогоплательщиков: Понедельник, среда с 9.00 до 18.00; вторник, четверг с 9.00 до 20.00; пятница с 9.00 до 16.45, без перерыва на обед; вторая и четвертая субботы месяца с 10.00 до 15.00"
6828;Межрайонная ИФНС России №3 по Тамбовской области;6828003805;682801001;,393210,Тамбовская обл,,Рассказово г,,М.Горького ул,37,,;47531-29842;i68280100@r68.nalog.ru;-;"Код ОКПО: 01965395. Время приема налогоплательщиков: Понедельник, среда с 9.00 до 18.00; вторник, четверг с 9.00 до 20.00; пятница с 9.00 до 16.45, без перерыва на обед; вторая и четвертая субботы месяца с 10.00 до 15.00"
6829;ИФНС России по г.Тамбову;6829001173;682901001;,392020,,,Тамбов г,,Пролетарская ул,252,2,;"Для юр.лиц:4752-570396;для физ.лиц:4752-574927, 4752-574928";i68290100@r68.nalog.ru;-;"Код ОКПО: 14311850. Время приема налогоплательщиков: Понедельник, среда с 9.00 до 18.00; вторник, четверг с 9.00 до 20.00; пятница с 9.00 до 16.45, без перерыва на обед; вторая и четвертая субботы месяца с 10.00 до 15.00"
6900;Управление ФНС России по Тверской области;6905006017;690101001;,170100,,,Тверь г,,Вагжанова ул,23,,;(4822)-506719;u69@r69.nalog.ru;www.r69.nalog.ru;"Код ОКПО:21351353; Режим работы: Понедельник-Четверг.: 9.00-18.00, Пятница: 9.00-16.45, перерыв: 13.00-13.45."
6906;Межрайонная ИФНС России № 2 по Тверской области;6906006980;690601001;,171983,Тверская обл,,Бежецк г,,Заводская ул,9,,;(48231)5-83-10;i6906@r69.nalog.ru;-;"Код ОКПО:31573698; Режим работы: Понедельник, Среда: 9.00-18.00, Вторник, Четверг: 9.00-20.00, Пятница: 9.00-16.45, каждая 2-я и 4-я Субботы месяца: 10.00-15.00; Коды РО по ЮЛ, состоящим на учете в данном НО, в отношении которых предусмотрен специаль"
6908;Межрайонная ИФНС России № 3 по Тверской области;6908005886;690801001;,171158,Тверская обл,,Вышний Волочек г,,Котовского ул,68,,;(48233) 5-15-14, 6-13-66, 6-39-02, 6-30-84, 5-13-84;i6908@r69.nalog.ru;-;"Код ОКПО:31573712; Режим работы: Понедельник-Четверг.: 9.00-18.00, Пятница: 9.00-16.45, каждая 2-я и 4-я Субботы месяца: 10.00-15.00; Коды РО по ЮЛ, состоящим на учете в данном НО, в отношении которых предусмотрен специальный порядок регистрации : 69"
6910;Межрайонная ИФНС России № 4 по Тверской области;6910010900;691001001;,171506,Тверская обл,,Кимры г,,Кирова ул,8,,;(48236) 3-17-39;i6910@r69.nalog.ru;-;"Код ОКПО:31573735; Режим работы: Понедельник, Среда: 8.45.-18.00, Вторник, Четверг: 8.45-20.00, Пятница: 8.45-16.45, каждая 2-я и 4-я Субботы месяца: 10.00-15.00; Коды РО по ЮЛ, состоящим на учете в данном НО, в отношении которых предусмотрен специа"
6912;Межрайонная ИФНС России № 5 по Тверской области;6912006931;691201001;,172527,Тверская обл,,Нелидово г,,Шахтерская ул,7,,;(48266)5-33-98;i6912@r69.nalog.ru;-;"Код ОКПО:10787113; Режим работы: Понедельник, Среда: 9.00.-18.00, Вторник, Четверг: 9.00-20.00, Пятница: 9.00-16.45, каждая 2-я и 4-я Субботы месяца: 10.00-15.00; Коды РО по ЮЛ, состоящим на учете в данном НО, в отношении которых предусмотрен специал"
6913;Межрайонная ИФНС России № 6 по Тверской области;6913008804;691301001;,172730,Тверская обл,,Осташков г,,Рудинская ул,7,,;(48235)5-06-77;i6913@r69.nalog.ru;-;"Код ОКПО:10815007; Режим работы: Понедельник-Четверг.: 9.00-18.00, Пятница: 9.00-16.45, каждая 2-я и 4-я Субботы месяца: 10.00-15.00; Коды РО по ЮЛ, состоящим на учете в данном НО, в отношении которых предусмотрен специальный порядок регистрации : 6"
6914;Межрайонная ИФНС России № 7 по Тверской области;6914008290;691401001;,172390,Тверская обл,,Ржев г,,Кирова ул,3,,;(48232) 2-18-19;i6914@r69.nalog.ru;-;"Код ОКПО:31573764; Режим работы: Понедельник-Четверг.: 9.00-18.00, Пятница: 9.00-16.45, каждая 2-я и 4-я Субботы месяца: 10.00-15.00; Коды РО по ЮЛ, состоящим на учете в данном НО, в отношении которых предусмотрен специальный порядок регистрации : 69"
6915;Межрайонная ИФНС России № 8 по Тверской области;6915006545;691501001;,172010,Тверская обл,,Торжок г,,Луначарского ул,119а,,;(48251)2-76-59;i6915@r69.nalog.ru;-;"Код ОКПО:21382034; Режим работы: Понедельник, Среда: 9.00.-18.00, Вторник, Четверг: 9.00-20.00, Пятница: 9.00-16.45, каждая 2-я и 4-я Субботы месяца: 10.00-15.00; Коды РО по ЮЛ, состоящим на учете в данном НО, в отношении которых предусмотрен специал"
6949;Межрайонная ИФНС России № 9 по Тверской области;6950000024;695001001;,170043,,,Тверь г,,Октябрьский пр-кт,26,,;"(4822) 37-11-25; (4822) 37-11-26; (4822) 37-11-31";i6949@r69.nalog.ru;-;"Код ОКПО:93406663. Режим работы: Понедельник, Среда: 9.00.-18.00, Вторник, Четверг: 9.00-20.00, Пятница: 9.00-16.45, каждая 2-я и 4-я Субботы месяца: 10.00-15.00; Коды РО по ЮЛ, состоящим на учете в данном НО, в отношении которых предусмотрен специал"
6950;Межрайонная ИФНС России № 10 по Тверской области;6950000017;695001001;,170043,,,Тверь г,,Октябрьский пр-кт,26,,;(4822) 37-10-01;i6950@r69.nalog.ru;-;"Код ОКПО:93406640. Изм. адреса. Режим работы: Понедельник и Среда: 9.00-18.00; Вторник и Четверг: 9.00-20.00; Пятница: 9.00-16.45; каждая 2-я и 4-я Субботы месяца: 10.00-15.00; Коды РО по ЮЛ, состоящим на учете в данном НО, в отношении которых предус"
6952;Межрайонная ИФНС России № 12 по Тверской области;6952000012;695001001;,170043,,,Тверь г,,Октябрьский пр-кт,26,,;(4822) 37-12-56, 37-12-01;i6952@r69.nalog.ru;-;"Код ОКПО:97837526. Изм. адреса и КПП. Режим работы: Понедельник-Четверг: 9.00-18.00, Пятница: 9.00-16.45, каждая 2-я и 4-я Субботы месяца: 10.00-15.00; Коды РО по ЮЛ, состоящим на учете в данном НО, в отношении которых предусмотрен специальный порядо"
7000;УФНС России по Томской области;7021016597;701701001;,634061,,,Томск г,,Фрунзе пр-кт,55,,;3822-280001 Единый Контакт-центр:8-800-2222222 (бесплатно);u70@r70.nalog.ru;www.nalog. tomsk.ru;Код ОКПО:24635909
7014;ИФНС России по Томскому району Томской области;7014010065;701701001;,634009,,,Томск г,,Бердская ул,11а,,;3822-285302, Единый Контакт-центр:8-800-2222222 (бесплатно);i701400@r70.nalog.ru;-;"Код ОКПО:24636145 Часы приема: понедельник, среда: 9.00 - 18.00; пятница: 9.00 - 16.45; вторник, четверг: 9.00 - 20.00; 1 и 3 субботы месяца: 10.00 - 15.00"
7017;ИФНС России по г.Томску;7021022569;701701001;,634061,,,Томск г,,Фрунзе пр-кт,55,,;3822-280070 Единый Контакт-центр:8-800-2222222 (бесплатно);i701700@r70.nalog.ru;-;"Код ОКПО:24635915 Часы приема: понедельник, среда: 9.00 - 18.00; пятница: 9.00 - 16.45; вторник, четверг: 9.00 - 20.00; 2 и 4 субботы месяца: 10.00 - 15.00"
7022;Межрайонная ИФНС России № 5 по Томской обл.;7022004442;702201001;,636785,Томская обл,,Стрежевой г,,4 мкр,455,,;38259-58105 Единый Контакт-центр:8-800-2222222 (бесплатно);i702200@r70.nalog.ru;-;"Код ОКПО:24635944 Часы приема: понедельник, среда: 9.00 - 18.00; пятница: 9.00 - 16.45; вторник, четверг: 9.00 - 20.00; 1 и 3 субботы месяца: 10.00 - 15.00"
7024;ИФНС России по ЗАТО Северск Томской области;7024003317;702401001;,636035,Томская обл,,Северск г,,Коммунистический пр-т,5,,;3823-908903 Единый Контакт-центр:8-800-2222222 (бесплатно);i702400@r70.nalog.ru;-;"Код ОКПО:24635967 Часы приема: понедельник, среда: 9.00 - 18.00; пятница: 9.00 - 16.45; вторник, четверг: 9.00 - 20.00; 1 и 3 субботы месяца: 10.00 - 15.00"
7025;Межрайонная ИФНС России № 1 по Томской обл.;7002010261;700201001;,636840,Томская обл,,Асино г,,Стадионная ул,35,,;38241-27901 Единый Контакт-центр:8-800-2222222 (бесплатно);i702500@r70.nalog.ru;-;"Код ОКПО:24635921 Часы приема: понедельник, среда: 9.00 - 18.00; пятница: 9.00 - 16.45; вторник, четверг: 9.00 - 20.00; 2 и 4 субботы месяца: 10.00 - 15.00"
7026;Межрайонная ИФНС России № 2 по Томской обл.;7008005758;700801001;,636160,Томская обл,,,Кожевниково с,Кирова ул,30,,;38244-23922 Единый Контакт-центр:8-800-2222222 (бесплатно);i702600@r70.nalog.ru;-;"Код ОКПО:24636062 Часы приема: понедельник, среда: 9.00 - 18.00; пятница: 9.00 - 16.45; вторник, четверг: 9.00 - 20.00; 2 и 4 субботы месяца: 10.00 - 15.00"
7028;Межрайонная ИФНС России № 4 по Томской обл.;7007006519;700701001;,636460,Томская обл,,Колпашево г,,Победы ул,9,,;38254-79102 Единый Контакт-центр:8-800-2222222 (бесплатно);i702800@r70.nalog.ru;-;"Код ОКПО:24635938 Часы приема: понедельник, среда: 9.00 - 18.00; пятница: 9.00 - 16.45; вторник, четверг: 9.00 - 20.00; 3 и 4 субботы месяца: 10.00 - 15.00"
7030;Межрайонная ИФНС России № 6 по Томской области;7006008880;700601001;,636700,Томская обл,,,Каргасок с,Октябрьская ул,3,,;38253-21142 Единый Контакт-центр:8-800-2222222 (бесплатно);i703000@r70.nalog.ru;-;"Код ОКПО:71732273 Часы приема: понедельник, среда: 9.00 - 18.00; пятница: 9.00 - 16.45; вторник, четверг: 9.00 - 20.00; 1 и последняя субботы месяца: 10.00 - 15.00;"
7031;Межрайонная ИФНС России №7 по Томской области;7017386186;701701001;,6340003,,,Томск г,,Соляная пл,5,,;3822-791400 Единый Контакт-центр:8-800-2222222 (бесплатно);i703000@r70.nalog.ru;-;"Код ОКПО:28836556 Часы приема: понедельник, среда: 9.00 - 18.00; пятница: 9.00 - 16.45;"
7100;УФНС России по Тульской области;7107086130;710701001;,300041,,,Тула г,,Тургеневская ул,66,,;(4872) 35-97-19, 33-21-62, 31-27-06;u71@r71.nalog.ru;www.nalog.tula.net http://home.tula.net/tax;Код ОКПО:39001010 Понедельник-четверг с9-00 до 18-00, пятница с 9.00 до 16.45
7107;ИФНС России по Центральному району г.Тулы;7107027569;710701001;,300041,,,Тула г,,Тургеневская ул,66,,;(4872) 35-75-25, 35-55-69;i7107@r71.nalog.ru;-;Код ОКПО:39027736.Понедельник, среда: с 9-00 до 18-00,вторник, четверг: с 9-00 до 20-00,пятница: с 9-00 до 16-45,суббота: 3-я и 4-я субботы месяца с 10-00 до 15-00
7148;Межрайонная ИФНС России № 8 по Тульской области;7130015434;713001001;,301130,Тульская обл,,,Ленинский п,Терешковой ул,4,,;(4872) 72-53-64, 72-55-67,72-53-15;i7148@m48.r71.nalog.ru;-;Код ОКПО:72571702.Понедельник, среда: с 9.00 до 18.00.Вторник, четверг: с 9.00 до 20.00.Пятница: с 9.00 до 16.45.Суббота: каждую третью и четвертую субботы месяца с 10.00 до 15.00
7150;Межрайонная ИФНС России № 1 по Тульской области;7117014255;711701001;,301608,Тульская обл,,Узловая г,,Смоленского ул,10,А,;(48731) 6-33-68;i7150@m50.r71.nalog.ru;-;"Код ОКПО:72571665.Понедельник, среда с 9-00 до 18-00; вторник, четверг с 9-00 до 20-00, пятница с 9.00 до 16.45 Суббота: каждую третью и четвертую субботу месяца с 10.00 до 15.00"
7151;Межрайонная ИФНС России № 5 по Тульской области;7118023083;711801001;,301240,Тульская обл,,Щекино г,,Мира ул,4,,;(48751) 4-04-97;i7151@m51.r71.nalog.ru;-;Код ОКПО:72574907.Понедельник, среда: с 9.00 до 18.00.Вторник, четверг: с 9.00 до 20.00.Пятница: с 9.00 до 16.45.Суббота: каждую третью и четвертую субботы месяца с 10.00 до 15.00
7153;Межрайонная ИФНС России № 9 по Тульской области;7116144445;711601001;,301650,Тульская обл,,Новомосковск г,,Кирова ул,14,,;(48762) 6-14-30, 6-44-14, 6-62-77;i7153@r71.nalog.ru;-;Код ОКПО:98740482.Понедельник, среда: с 9.00 до 18.00.Вторник, четверг: с 9.00 до 20.00.Пятница: с 9.00 до 16.45.Суббота: каждую третью и четвертую субботы месяца с 10.00 до 15.00
7154;Межрайонная ИФНС России № 10 по Тульской области;7104057646;710401001;,300041,,,Тула г,,Красноармейский пр-кт,48,2,;(4872) 30-22-07, 33-80-83, 30-96-16;i7154@r71.nalog.ru;-;Код ОКПО:98739932.Понедельник, вторник,среда, четверг: с 9.00 до 18.00.Пятница: с 9.00. до 16.45
7155;Межрайонная ИФНС России № 11 по Тульской области;7105050001;710501001;,300040,,,Тула г,,Калинина ул,3,,;(4872)40-98-90, 40-58-38, 40-86-46,42-52-07,42-36-58,42-75-78;i7155@r71.nalog.ru;-;Код ОКПО:39027618.Понедельник, среда: с 9.00 до 18.00.Вторник, четверг: с 9.00 до 20.00.Пятница: с 9.00. до 16.45.Суббота: каждую третью и четвертую субботы месяца с 10.00 до 15.00
7200;УФНС России по Тюменской области;7204087130;720301001;,625009,Тюменская обл,,Тюмень г,,Товарное шоссе ул,15,,;3452-492005, 3452-492076;u72@r72.nalog.ru;www.r72.nalog.ru;Код ОКПО:34450370, Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 17-00.
7203;ИФНС России по г. Тюмени № 3;7203000979;720301001;,625009,Тюменская обл,,Тюмень г,,Товарное шоссе ул,15,,;3452-792300, 3452-792385, 3452-792340;m7203@m03.r72.nalog.ru;-;"Код ОКПО:33583672, Режим работы: понедельник, среда, пятница с 08.00 до 18.00; вторник, четверг с 08.00 до 20.00. Дополнительно: 1-я и 3-я суббота месяца с 10.00 до 15.00 без перерыва"
7205;Межрайонная ИФНС России № 12 по Тюменской области;7205010965;720501001;,627756,Тюменская обл,,Ишим г,,Суворова ул,32/1,,;34551-78600, 34551-78610, 34551-78611, 34551-72974;m7205@m05.r72.nalog.ru;-;"Код ОКПО:31437446, Режим работы: понедельник, среда, пятница с 08.00 до 18.00; вторник, четверг с 08.00 до 20.00. Дополнительно: 1-я и 3-я суббота месяца с 10.00 до 15.00 без перерыва"
7206;Межрайонная ИФНС России № 7 по Тюменской области;7206025202;720601001;,626150,Тюменская обл,,Тобольск г,,10 мкр,50,,;3456-395800, 3456-395875, 3456-395881, 88003000007;m7206@m06.r72.nalog.ru;-;"Код ОКПО:32735298, Режим работы: понедельник, среда, пятница с 08.00 до 18.00; вторник, четверг с 08.00 до 20.00. Дополнительно: 1-я и 3-я суббота месяца с 10.00 до 15.00 без перерыва"
